Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
1	Round_2_Replicate_7	-16398.25	32804.5	129030.96	1001.31	2.9091,0.1114,0.1103,0.5002
1	Round_3_Replicate_5	-3812.11	7632.22	5121.63	1099.69	0.258,1.1467,0.067,0.0213
1	Round_3_Replicate_7	-6904.16	13816.32	1576301554968181.8	1074.56	0.4213,2.8652,0.0199,0.0339
1	Round_2_Replicate_9	-7303.38	14614.76	19270.28	566.08	3.6892,1.1863,0.348,0.1439
1	Round_3_Replicate_4	-7464.33	14936.66	1.5122749761935048e+16	890.51	0.9368,8.9823,0.0418,0.0099
1	Round_3_Replicate_9	-3596.65	7201.3	22364.48	1177.28	0.1549,1.1255,0.0317,0.0065
1	Round_2_Replicate_8	-5030.17	10068.34	987547.41	710.26	2.5304,1.5375,0.1543,0.0291
1	Round_3_Replicate_6	-4126.98	8261.96	12688436.16	984.91	0.5399,1.66,0.0582,0.0183
1	Round_3_Replicate_8	-4760.55	9529.1	247219821.67	1064.88	0.1948,7.4496,0.0233,0.0863
1	Round_3_Replicate_10	-4001.91	8011.82	109014.63	1248.63	0.0304,1.9564,0.0064,0.0213
1	Round_3_Replicate_5	-5364.94	10737.88	6948640961.35	804.88	0.9872,3.8421,0.0793,0.0675
1	Round_2_Replicate_10	-10626.27	21260.54	26778.21	1123.63	0.312,0.949,0.0593,0.7626
1	Round_2_Replicate_9	-15197.02	30402.04	128086.82	714.4	10.7128,0.1399,0.1881,0.0188
1	Round_3_Replicate_9	-3700.83	7409.66	37714.18	1237.77	0.0861,0.984,0.0179,0.0121
1	Round_3_Replicate_11	-3828.19	7664.38	105601.78	1104.61	0.1276,3.1521,0.0258,0.0292
1	Round_3_Replicate_7	-6300.49	12608.98	31844.93	993.88	0.4338,0.9654,0.2493,0.0152
1	Round_3_Replicate_6	-4004.44	8016.88	10868.64	1105.73	0.1884,1.5534,0.0415,0.0909
1	Round_2_Replicate_11	-17680.96	35369.92	145175.14	804.12	2.4159,0.4411,0.2322,0.8498
1	Round_2_Replicate_10	-5687.23	11382.46	9029.93	990.31	1.5195,0.4844,0.0951,0.0403
1	Round_3_Replicate_12	-3938.72	7885.44	21114.87	1340.69	0.0242,0.3834,0.0055,0.0063
1	Round_3_Replicate_7	-5363.07	10734.14	15843.98	606.69	0.4455,9.0075,0.1812,0.0266
1	Round_3_Replicate_10	-4205.73	8419.46	7142.81	1074.68	0.075,9.5978,0.0271,0.0085
1	Round_3_Replicate_8	-3993.98	7995.96	10256.96	806.32	0.5288,2.9705,0.1199,0.0136
1	Round_2_Replicate_12	-5916.09	11840.18	470059010.71	932.24	0.4157,6.281,0.0447,0.2405
